T_feed,P_feed,z_benzene,reflux_ratio,stages,feed_stage,bottoms_flow
129.3150214320016,1.3548901688643749,0.5145740368441278,4.314624635127312,12.0,14.0,38.86454525516783
105.19768869388558,1.1583913334752125,0.7777611308252752,4.348669158685473,12.0,12.0,66.46995738076126
108.81602068014489,1.4771119438755353,0.27976357201399055,2.8770976508571566,21.0,8.0,42.01611475296764
99.55124058644503,1.742661999639847,0.317198092660623,3.711122733682169,22.0,19.0,40.5229472653572
124.74989558575325,1.875364113018864,0.390554770993056,2.8323358360961,24.0,13.0,21.91287801261735
109.23313973975489,1.679390742909661,0.31418997759636746,3.4031367679811053,12.0,19.0,55.49422243847182
100.70796534210928,1.73732808235743,0.31802072529285974,1.7590914502287271,19.0,12.0,76.49924902857796
127.97576169625745,1.6711684058797682,0.7705167895760396,3.1614348518755486,24.0,5.0,38.16531841025905
110.62051781373344,1.6769534022079093,0.7299437744956949,3.081100167014724,13.0,20.0,70.90466941466396
117.02662614953583,1.6238083673346566,0.6817311869422973,4.109477411612879,23.0,6.0,51.615526748508394
80.31807116762447,1.2763802170884482,0.4928867837646521,3.2730644515201712,13.0,12.0,67.1069263492691
127.29553928042392,1.1764858283289128,0.3755853182237791,2.1332968571726685,20.0,17.0,70.24777894816356
81.80939232038662,1.362935957125988,0.6251485300416251,1.6089027060462313,19.0,4.0,75.58976441634
128.13654415641375,1.8314598072914245,0.5531080603969268,4.286795186458613,15.0,4.0,29.776940443325344
105.05503351911796,1.3262283710587441,0.43726489498289856,3.830231406192925,12.0,5.0,65.51115431331996
89.38530843721797,1.3786030138760315,0.7235607160144735,3.0496346829338297,17.0,15.0,61.40305007792916
116.39927003752908,1.3802434195429523,0.5100173402630408,3.0666309008282515,11.0,12.0,34.03216838515474
108.5339169989135,1.6467191063613027,0.3768983960039228,4.425071665746549,13.0,13.0,42.18777129140224
81.3477676555623,1.605393726105326,0.3371631898784361,3.3221635970392915,23.0,4.0,57.76858095649848
98.83676476268423,1.481687295750998,0.366873385176152,3.3889837145269732,12.0,12.0,49.06081939503036
95.72497796458957,1.693022914925431,0.2998125847493343,3.1514285758757383,21.0,15.0,45.690235851397304
87.61102751317868,1.4929075773392486,0.5066146194259764,4.190242883427255,22.0,16.0,34.92487083479089
104.58833968093704,1.7038415223980465,0.5118568746213898,2.7002637044342905,25.0,4.0,53.63751146127293
107.73692834110611,1.6893857792301308,0.5200956830620098,2.310247650761634,19.0,9.0,29.173487583325205
125.27453510668562,1.7650449607903427,0.4026565903334337,4.758881418147228,10.0,11.0,39.60092712610519
127.59050188086741,1.0629642524256524,0.6955450268584651,4.561440264437946,24.0,8.0,78.49212811095629
